[2026-04-08 16:30:20] INFO     | trading.db             | Database ready at /Users/rishabhmaniyar/Downloads/trading_framework/data/trading.db
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,PASharesValue,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,PASharesValue-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,PASharesValue-S,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,PhysicalCertificateValue,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,PhysicalCertificateValue-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,PhysicalCertificateValue-S,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,PostExpirationExcess,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,PostExpirationExcess-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,PostExpirationExcess-S,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,PostExpirationMargin,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,PostExpirationMargin-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,PostExpirationMargin-S,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,RealCurrency,BASE,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,RealCurrency,USD,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,RealizedPnL,0.00,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,RealizedPnL,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,SegmentTitle-P,Crypto at Paxos,,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,SegmentTitle-S,Securities,,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,SettledCashByDate,20260408:242708.54;20260409:245383.79146485,,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,SettledCashByDate-P,20260408:0,,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,SettledCashByDate-S,20260408:242708.54;20260409:245383.79146485,,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,StockMarketValue,0.00,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,StockMarketValue,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,TBillValue,0.00,BASE,DUM165609
